groupid,groupname,COMISSION,EMAIL
1938,BAY FINANCE INVESTMENTS LTD,10%,o.lawal@clearlinehmo.com
1730,BC NWANKWO & CO,10%,o.lawal@clearlinehmo.com
1885,BEDMATE FURNITURE ENTERPRISES NIG CO LTD,10%,c.orakwue@clearlinehmo.com
1929,BELAMCO NIGERIA LTD,10%,o.lawal@clearlinehmo.com
1437,BELLARGE GLOBAL SERVICES LTD,10%,
1408,BISHOP HOWELLS MEMORIAL GRAMM. SCH.,10%,
1696,BIU FORT HOME LIMITED,10%,c.orakwue@clearlinehmo.com
1870,BLACK PELICAN LIMITED,10%,
1747,BLACK SILICON LIMITED,10%,o.lawal@clearlinehmo.com
1852,BLOOMTECH INFRASTRUCTURE LIMITED,10%,o.lawal@clearlinehmo.com
1812,BLSH TRADING COMPANY LIMITED.,10%,o.lawal@clearlinehmo.com
1928,BLUE TURTLE NIGERIA LTD,10%,c.orakwue@clearlinehmo.com
1636,C&K TEMPLATE NIGERIA LIMITED,10%,e.ibe@clearlinehmo.com
1414,C.M.S GRAMMAR SCHOOL,10%,
1845,CAPITALFIELD INVESTMENT GROUP,10%,l.iyanda@clearlinehmo.com
1979,CARAWAY AFRICA NIGERIA LIMITED,12%,a.adelusi@clearlinehmo.com
1986,CARRY HEAVY INDUSTRY LTD,10%,o.lawal@clearlinehmo.com
1983,CARTRACK ENGINEERING TECHNOLOGIES,10%,
1459,CASPER TECHNOLOGIES NIG. LTD,10%,e.ibe@clearlinehmo.com
813,CATHEM EYE HOSPITAL,10%,o.lawal@clearlinehmo.com
1540,CDK INDUSTRIES LIMITED,10%,e.ibe@clearlinehmo.com
1589,CENTRE BASE CONSULT LTD.,10%,
1854,CFI ENGINEERING SERVICES LTD,10%,o.lawal@clearlinehmo.com
1934,CHALEN ENGINEERING SOLUTIONS LIMITED,10%,o.lawal@clearlinehmo.com
1918,CHEMSTAR INDUSTRIES LIMITED,10%,e.ibe@clearlinehmo.com
1727,CHIBEK INSTRUMENTS NIG LTD,10%,o.lawal@clearlinehmo.com
1787,CHRISDOLF FINOP,10%,
1975,"CHRIST BAPTIST CHURCH, GBAGADA",10%,
1935,CHRISTOCLEAR WASTE VENTURES LIMITED,10%,
1860,CITYGATE GLOBAL SERVICES LIMITED,10%,
942,CLEARLINE INTERNATIONAL LIMITED,10%,
891,CLIMAX INSPECTION SERVICES LIMITED,10%,
1573,CLINIX HEALTHCARE,10%,
1872,CLINIX HEALTHCARE AWKA,10%,
1499,"CLINIX HEALTHCARE LTD, FESTAC",10%,
1875,CLOUD ENERGY PHOTOELECTRIC LTD,10%,c.orakwue@clearlinehmo.com
1972,COMMUNICATION FACILITATOR LIMITED (OUTSOURCED MTN STAFF),10%,l.iyanda@clearlinehmo.com
1564,COMPANIE INDUSTRIELLE ET COMMERCIALE,10%,a.adelusi@clearlinehmo.com
1362,CONCESSIONARY LOGISTICS LIMITED,10%,o.lawal@clearlinehmo.com
1516,CORAL BLUE LIMITED,10%,o.lawal@clearlinehmo.com
1610,CORDROS ASSET MANAGEMENT,10%,
1609,CORDROS CAPITAL,10%,
1611,CORDROS CAPITAL INVESTMENT BANKING LIMITED,10%,
1652,CORDROS SECURITY LIMITED,10%,
1973,COSCHARIS FARMS LTD,10%,
1846,COSCHARIS MOBILITY (SIXT NIG),10%,
1964,COSWAL NIGERIA LIMITED,10%,
815,CRESEADA INTERNATIONAL LIMITED,10%,a.adelusi@clearlinehmo.com
1218,CVCOMM WEST AFRICA,10%,c.orakwue@clearlinehmo.com
1502,CWAY FOOD & BEVERAGES NIG. COMP. LTD OTTA,10%,a.adelusi@clearlinehmo.com
1864,CWAY FOOD AND BEVERAGES (ONITSHA PLANT),10%,a.adelusi@clearlinehmo.com
1841,CWAY FOODS AND BEVERAGES SHAGAMU,10%,a.adelusi@clearlinehmo.com
1712,CWAY NIG.DRINKING WATER SCI.& TECH CO.LAGOS,10%,a.adelusi@clearlinehmo.com
1557,DABS NUTRITIONAL PRODUCTS LIMITED,10%,l.iyanda@clearlinehmo.com
1669,DARVINKS NIG. LTD,10%,c.orakwue@clearlinehmo.com
1936,DATA GUARD DOCUMENT MANAGEMENT LIMITED,10%,c.orakwue@clearlinehmo.com
1954,DE TOWER CASINO,10%,e.ibe@clearlinehmo.com
1971,DEVELOPMENT AFRICA (3RD BATCH),10%,o.lawal@clearlinehmo.com
1924,DEVELOPMENT AFRICA 2ND BATCH,10%,
821,DHL AVIATION (NIGERIA) LIMITED,10%,a.adelusi@clearlinehmo.com
1388,DIRECT BRIDGE NIGERIA LIMITED,10%,e.ibe@clearlinehmo.com
1601,DISCIPLES OF CHRIST MINISTRY,10%,c.orakwue@clearlinehmo.com
1881,DOVE REDEEMED SCHOOL,10%,
1905,DTO INDUSTRIES NIG LTD,10%,c.orakwue@clearlinehmo.com
1764,DUGO LIMITED,10%,o.lawal@clearlinehmo.com
1981,EAGLE VISION MUTUAL RESOURCES INVESTMENT,10%,
1940,ECHEZONA DIGITAL GATEWAY LIMITED,10%,o.lawal@clearlinehmo.com
1238,ECM TERMINAL LIMITED,10%,
1491,EKKLISIYAR YAN UWA NIG. (EYN PROJECT,10%,
1670,ELBE PHARMA NIG.LTD,10%,c.orakwue@clearlinehmo.com
1127,EMALESSON ENTERPRISE LIMITED,10%,o.lawal@clearlinehmo.com
1797,EMERALD COURT RESIDENCE SOLUTIONS,10%,
1859,EMPIRE TRUST MICROFINANCE BANK LIMITED,10%,
1980,ENE USORO NIGERIA LIMITED,10%,o.lawal@clearlinehmo.com
1595,ESHER & MAKARIOS,10%,o.lawal@clearlinehmo.com
1967,ETL Engineering Services Ltd,10%,
1510,EUODIA WHOLEFOODS LTD,10%,a.adelusi@clearlinehmo.com
966,Evans Brothers (Nigeria Publishers) Limited,10%,a.adelusi@clearlinehmo.com
1937,EXCELCHARIS GROUP,10%,
1789,EXELON OILFIELD SUPPORT SERVICES LTD,10%,o.lawal@clearlinehmo.com
921,FAMILY SCHEME,10%,o.lawal@clearlinehmo.com
1763,FANTEIN NIGERIA LTD,10%,c.orakwue@clearlinehmo.com
1723,FARINDE OLATEJU AND COMPANY,10%,c.orakwue@clearlinehmo.com
1961,FCMB DSA,10%,l.iyanda@clearlinehmo.com
1865,FEDERAL GOVERNMENT COLLEGE PORT HARCOURT OLD STUDENTS ASSOCIATION 95 SET,10%,o.lawal@clearlinehmo.com
1939,FIFER ENERGY & PROCUREMENT SERVICES LTD,10%,c.orakwue@clearlinehmo.com
1874,FINATRUST MFB LTD,10%,e.ibe@clearlinehmo.com
1643,FIRST CHOICE MICRO FINANCE COOPERATIVE SOCIETY,10%,
1660,FIRST EQUITORIAL GROUP,10%,o.lawal@clearlinehmo.com
1962,FLIP LENDERS LIMITED,10%,a.adelusi@clearlinehmo.com
1439,FMCG DISTRIBUTION LIMITED,10%,a.adelusi@clearlinehmo.com
1920,FOODVIEW AGROCHEMICALS LTD,10%,
1666,FORTRESS CAPITAL LIMITED,10%,e.ibe@clearlinehmo.com
1667,FORTRESS MICROFINANCE BANK LIMITED,10%,c.orakwue@clearlinehmo.com
1978,FORTUNE HOUSE NETWORK LIMITED,10%,e.ibe@clearlinehmo.com
1796,FUTUREVIEW GROUP,10%,c.orakwue@clearlinehmo.com
1751,GEM PETROL CHEMICAL CO. NIG. LTD.,10%,o.lawal@clearlinehmo.com
1944,GENEITH PHARMACEUTICALS LIMITED,10%,e.ibe@clearlinehmo.com
1948,GEOPHASE RESOURCES LIMITED,10%,c.orakwue@clearlinehmo.com
1919,GIL AUTOMATION LTD,10%,l.iyanda@clearlinehmo.com
1457,GODDIE CHEMICALS INT. LTD.,10%,
1518,GODP,10%,o.lawal@clearlinehmo.com
1728,GOLDEN SUPER NIG LTD,10%,c.orakwue@clearlinehmo.com
1879,GOLFVIEW SUITES & CONFERENCE CENTRE,10%,a.adelusi@clearlinehmo.com
1211,GRACE SCHOOLS,10%,a.adelusi@clearlinehmo.com
1324,GRACECO LIMITED,10%,
1985,GRAINES FINANCE LIMITED,10%,c.orakwue@clearlinehmo.com
1360,GREENLIFE BLISS HEALTHCARE LTD.,10%,a.adelusi@clearlinehmo.com
1130,GREENLIFE PHARMACEUTICAL LIMITED,10%,e.ibe@clearlinehmo.com
1429,GUINEA INSURANCE PLC,10%,c.orakwue@clearlinehmo.com
1900,HARVARD INTERNATIONAL COMPANY LTD,10%,
1987,HEALTHGARDE INTERNATIONAL,10%,
1913,HERCULES SECURITY SERVICES LTD,10%,c.orakwue@clearlinehmo.com
1517,HRLEVERAGE AFRICA CONSULTING LIMITED,10%,
1943,HY-LOK NIGERIA LIMITED,10%,
1849,IBUSHE LIMITED,10%,a.adelusi@clearlinehmo.com
1418,IDEVWORK TECHNOLOGIES LTD.,10%,o.lawal@clearlinehmo.com
1292,IFAKO INTERNATIONAL SCHOOL,10%,c.orakwue@clearlinehmo.com
1916,IGBOBI COLLEGE,10%,a.adelusi@clearlinehmo.com
1974,INFINION TECHNOLOGIES,10%,c.orakwue@clearlinehmo.com
1547,INFINITY MICROFINANCE BANK LIMITED,10%,e.ibe@clearlinehmo.com
1757,INFORMATION ENGINEERING TECHNOLOGIES LTD,10%,a.adelusi@clearlinehmo.com
1901,INSTITUTE OF CHARTERED SECRETARIES & ADMINISTRATORS OF NIGERIA,10%,e.ibe@clearlinehmo.com
919,INTERCONTINENTAL DISTILLERS LIMITED,10%,a.adelusi@clearlinehmo.com
1602,J&Z GLOBAL COMMERCIAL VENT LTD (FOGG),10%,o.lawal@clearlinehmo.com
1969,J-SIX GROUP,10%,l.iyanda@clearlinehmo.com
1848,JAB INSURANCE BROKER NIG LIMITED,10%,o.lawal@clearlinehmo.com
1902,JERICHO APARTMENTS,10%,Not active
1689,JIMMY ITUA LTD,10%,c.orakwue@clearlinehmo.com
1514,JOHN ZEDOMI AND ASSOCIATES,10%,o.lawal@clearlinehmo.com
1229,JULLY & PARTNERS,10%,o.lawal@clearlinehmo.com
1923,KAIZEN MFB,10%,c.orakwue@clearlinehmo.com
1988,KAYVEE MICRO FINANCE BANK LTD,10%,o.lawal@clearlinehmo.com
1858,KEZIF INTERGRATED RESOURCE LIMITED,10%,
1908,KIAKIA,10%,
1889,KIZITO MARITIME AGENCIES LTD,10%,c.orakwue@clearlinehmo.com
1560,KOJO MOTORS LIMITED,10%,a.adelusi@clearlinehmo.com
1503,LADO OIL CHEMICALS NIG. LTD.,10%,l.iyanda@clearlinehmo.com
1407,LAGOS ANGLICAN GIRLS GRAMMAR SCH.,10%,
1415,LAGOS ANGLICAN NUR. AND PRY. SCH.,10%,
1405,LAGOS ANGLICAN SCH MGT. BOARD,10%,
1055,LANDOVER COMPANY LIMITED,10%,l.iyanda@clearlinehmo.com
1959,LIFEFORTE GROUP,10%,
1678,LIFEGUARD MICRO INSURANCE LTD,10%,
1296,LIFESIGN HEALTHCARE LIMITED,10%,o.lawal@clearlinehmo.com
1947,LIVESTOCK 247.COM,10%,o.lawal@clearlinehmo.com
1132,LOA ARCHITECTS LIMITED,10%,o.lawal@clearlinehmo.com
1755,LOGIC CITY FLEET MANAGEMENT SERVICES LIMITED,10%,c.orakwue@clearlinehmo.com
1867,LORNA NIGERIA LIMITED (GODREJ),20%,l.iyanda@clearlinehmo.com
1072,LOTUS CAPITAL LIMITED,10%,
1951,M KOBO MICRO FINANCE BANK,10%,o.lawal@clearlinehmo.com
1776,MAINLAND OIL & GAS CO. LTD,10%,c.orakwue@clearlinehmo.com
1768,MAINWAY INSURANCE BROKERS,10%,
1801,MAKEMX LTD,10%,
1976,MANUFACTURERS ASSOCIATION OF NIGERIA,10%,
1506,MARTGLOBAL LIMITED,10%,
1740,MASHA MUSIC ACADEMY,10%,o.lawal@clearlinehmo.com
1693,MASTERPIECE ENERGIES LTD,10%,c.orakwue@clearlinehmo.com
1758,MAYDON PHARMACEUTICAL LIMITED,10%,e.ibe@clearlinehmo.com
1822,MCCXEN LIMITED,10%,
1977,MCDANIEL PERSONAL CARE LIMITED,10%,o.lawal@clearlinehmo.com
1189,MEDIA TRUST PLC,10%,f.kolo@clearlinehmo.com
1729,"METHODIST COLLEGE UZUAKOLI OLD BOYS ASSOCIATION, LAGOS BRANCH",10%,o.lawal@clearlinehmo.com
1411,MIMS EDUCATIONAL SERVICES,10%,c.orakwue@clearlinehmo.com
1957,MIMSHACK GROUP,10%,
1911,MIRROR SURVEILLANCE LTD,10%,c.orakwue@clearlinehmo.com
1005,MISSIONARY SOCIETY OF ST PAUL,10%,f.kolo@clearlinehmo.com
1430,MORDERN STANDARD INSURANCE BROKERS LTD,10%,
1827,NATHAN CLAIRE INTERNATIONAL,10%,c.orakwue@clearlinehmo.com
1314,NAUTILUS NIGERIA E & C LIMITED,10%,l.iyanda@clearlinehmo.com
1895,NERDZFACTORY COMPANY,10%,o.lawal@clearlinehmo.com
1568,NIJI ONI & CO.,10%,o.lawal@clearlinehmo.com
1809,NISI TECHNOLOGIES,10%,o.lawal@clearlinehmo.com
1778,OBIKINGS INDUSTRIES LTD,10%,e.ibe@clearlinehmo.com
1804,OCEAN SEED NIGERIA LIMITED,10%,l.iyanda@clearlinehmo.com
1511,OCTAVUS PETROLEUM LIMITED,10%,e.ibe@clearlinehmo.com
1694,Online Retail,10%,
1677,ORFI MANAGEMENT SERVICE,10%,
1741,OSCAR MARINE LIMITED,10%,a.adelusi@clearlinehmo.com
1232,OUTSOURCED DRIVERS GROUP,10%,c.orakwue@clearlinehmo.com
1732,OYSTER GLOBAL LINKS LIMITED,10%,o.lawal@clearlinehmo.com
1817,PAKWAY INDUSTRIES NIG LTD (SUBSIDIARY OF CWAY GROUP),10%,a.adelusi@clearlinehmo.com
1932,PATHFINDERS INTERNATIONAL LTD,10%,c.orakwue@clearlinehmo.com
1958,PATHFINDERS INTERNATIONAL LTD (BATCH B),10%,c.orakwue@clearlinehmo.com
1925,PERSHING HILLS ELEMENTARY SCHOOL,10%,e.ibe@clearlinehmo.com
1963,PETROLEUM MANAGERS LTD,10%,
1831,PETROSAVE INTEGRATED SERVICES LIMITED,10%,o.lawal@clearlinehmo.com
1871,PHILBAN CONSULTING LTD,10%,
1906,PHONE INDEX LIMITED,10%,
1953,PING TELECOMMUNICATION,10%,o.lawal@clearlinehmo.com
1015,PINHEIRO & COMPANY,10%,a.adelusi@clearlinehmo.com
1782,PINTAR SERVICES LIMITED,10%,l.iyanda@clearlinehmo.com
1921,PLUSH-WORKS RESOURCES LTD,10%,
1212,POLARIS BANK PLC,15%,l.iyanda@clearlinehmo.com
1851,POWERPRO LTD,10%,c.orakwue@clearlinehmo.com
1403,PRAGMATIC LIMITED,10%,l.iyanda@clearlinehmo.com
1725,PRECISION ENERGY AND PROCUREMENT SERVICES LTD,10%,c.orakwue@clearlinehmo.com
1862,PREMIUM EDGE ASSOCIATES LIMITED,10%,c.orakwue@clearlinehmo.com
1552,QUEENSLAND ACADEMY SCHOOL,10%,o.lawal@clearlinehmo.com
1950,RAPIDLINK RESOURCES,10%,o.lawal@clearlinehmo.com
1904,RASAYELA NIG LTD,10%,e.ibe@clearlinehmo.com
1968,REAL ESTATE SECURITY LTD,10%,e.ibe@clearlinehmo.com
1783,RELCHEM LTD,10%,e.ibe@clearlinehmo.com
1942,RHEMA CARE INTERGRATED DEVELOPMENT CENTRE,10%,
1488,ROBERT JOHNSON NIGERIA LTD,10%,
1982,ROBERT TAYLOR,10%,
1910,RONCHESS GLOBAL RESOURCES,10%,o.lawal@clearlinehmo.com
1708,ROYAL EXCHANGE PRUDENTIAL LIFE PLC,10%,
1662,ROYAL HERITAGE HEALTH FOUNDATION MAIDUGURI,10%,f.kolo@clearlinehmo.com
1823,RSDG Ventures Limited,10%,a.adelusi@clearlinehmo.com
1984,RUESAGE NIGERIA LIMITED,10%,c.orakwue@clearlinehmo.com
1534,SAMSON AGBATAN CONSULTING LTD.,10%,c.orakwue@clearlinehmo.com
1554,SEALING ENGINEERING SERVICES LTD.,10%,a.adelusi@clearlinehmo.com
1524,SEVEN-UP BOTTLING COMPANY LTD,10%,l.iyanda@clearlinehmo.com
1525,SHOWERS KIDDIES PUBLISHERS LIMITED,10%,o.lawal@clearlinehmo.com
1965,SHUTTLERS,10%,e.ibe@clearlinehmo.com
1734,Sinoma Cargo International Nigeria Limited,10%,l.iyanda@clearlinehmo.com
1949,Smart Access International Solutions Limited,10%,o.lawal@clearlinehmo.com
1833,SNOW MICROFINANCE BANK,10%,
1474,SOATEC ENGINEERING SERVICES (WIA) LTD,10%,c.orakwue@clearlinehmo.com
1146,SOUTHGATE TECHNOLOGIES LIMITED,10%,e.ibe@clearlinehmo.com
1253,Sowsco Inspection Division,10%,
1903,SPECTRUM MICROFINANCE BANK,10%,e.ibe@clearlinehmo.com
1945,SPORTY INTERNET LIMITED,10%,
1742,ST BERNARD SEMINARY,10%,
1737,STACO INSURANCE PLC,10%,l.iyanda@clearlinehmo.com
1577,STAROFFSHORE ENERGY (NIG) LTD.,10%,
1440,STELLAR BEVERAGES LIMITED,10%,a.adelusi@clearlinehmo.com
1835,STRONGMAS GROUP,10%,c.orakwue@clearlinehmo.com
1579,SUPPRIUM NIG. LTD.,10%,o.lawal@clearlinehmo.com
1325,SUPREME EDUCATION FOUNDATION SCHOOLS,10%,
1793,SWEET NUTRITION LIMITED [MR CHEF],10%,a.adelusi@clearlinehmo.com
1931,SWIFT NETWORKS LIMITED,10%,l.iyanda@clearlinehmo.com
1425,SYPHER PROFESSIONAL SERVICES,10%,c.orakwue@clearlinehmo.com
1383,TAC PROFESSIONAL SERVICES,10%,o.lawal@clearlinehmo.com
1753,TAFSAN TOURS AND TRAVELS LIMITED,10%,c.orakwue@clearlinehmo.com
1152,TAHIR GUEST PALACE LIMITED,10%,
1597,TAQWA PRIVATE SCHOOL (STUDENT),10%,
1347,TAQWA PRIVATE SCHOOLS,10%,
1818,TELENOETICA LIMITED,10%,e.ibe@clearlinehmo.com
1497,TEMBO CARE LIMITED,10%,
1583,TGM EDUCATION,10%,c.orakwue@clearlinehmo.com
1941,THE BICKLEY PARK HOTEL,10%,
1542,THE OCEANGLORY COMMODITIES LIMITED,10%,c.orakwue@clearlinehmo.com
945,TOMSEY ENGINEERING & SERVICES INTL LTD,10%,
1431,TOPKLAN ENGINEERING SERVICES LTD.,10%,o.lawal@clearlinehmo.com
1917,TPACONSULTATION,10%,
1192,TRINITY INTERNATIONAL COLLEGE,10%,a.adelusi@clearlinehmo.com
1927,TROLOPPE PROPERTIES LIMITED,10%,o.lawal@clearlinehmo.com
1417,TYONEX NIGERIA LTD.,10%,c.orakwue@clearlinehmo.com
1842,U-Connect Human Resources Limited,10%,e.ibe@clearlinehmo.com
1955,UCONNECT HR SERVICES LTD-NIG BOTTLING,10%,e.ibe@clearlinehmo.com
1600,ULTIMATE POLY VENTURE,10%,a.adelusi@clearlinehmo.com
1351,UNIQUE INSTRUMENTS & SCIENCE CO LTD,10%,o.lawal@clearlinehmo.com
1446,VACCIPHARM LTD.,10%,e.ibe@clearlinehmo.com
1912,VAGAN OIL AND GAS COMPANY (TOTAL ENERGIES),10%,
1926,VAGAN SNG DRIVERS,10%,
1899,VALANIS BROKERS,10%,
1853,VICALS TRAVELS AND TOURS LIMITED,10%,o.lawal@clearlinehmo.com
1883,VIRTUALFLUX INTEGRATED LIMITED,10%,o.lawal@clearlinehmo.com
1269,VITABLOM NIGERIA LIMITED,10%,l.iyanda@clearlinehmo.com
926,VITAFOAM NIGERIA PLC,10%,l.iyanda@clearlinehmo.com
1270,VITAPUR NIGERIA LIMITED,10%,l.iyanda@clearlinehmo.com
1840,VONO FURNITURE PRODUCTS LIMITED,10%,l.iyanda@clearlinehmo.com
1546,WALLZ & QUEEN NIGERIA LIMITED,10%,o.lawal@clearlinehmo.com
1273,WEMABOD ESTATE LIMITED,10%,a.adelusi@clearlinehmo.com
1451,WEST END LIMITED,10%,
1794,WILSON CAFE,10%,o.lawal@clearlinehmo.com
1832,WITSSPRINGS HOTEL AND SUITES,10%,c.orakwue@clearlinehmo.com
1952,XL AFRICA GROUP LTD,10%,c.orakwue@clearlinehmo.com
1339,ZEIT ENGINEERING CO LIMITED,10%,c.orakwue@clearlinehmo.com
